SubjID,List,Run,Order,TrialNum,ItemNum,Condition,Type1,Type1_sameconstr,Type2,Type3,Onset,Response,RT,Correctness
debug,1,1,1,31,71,DOPP_SYNT_SAME,PP,0,name-occ,NA,26.2000000002445,1,0.0917057514889166,1
debug,1,1,1,32,47,DOPP_SYNT_SAME,DblObj,0,name-occ,NA,26.8000000002503,1,0.000434173183748499,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,27.4000000002561,NA,NA,NA
debug,1,1,1,33,38,ActPas_SYNT_DIFF,passive,1,occ-name,NA,27.6000000002678,2,0.0850189313932788,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,28.2000000002736,NA,NA,NA
debug,1,1,1,34,33,ActPas_SEM_SAME,passive,1,name-occ,noun_synon,28.6000000002678,1,0.000207012519240379,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,29.2000000002736,NA,NA,NA
debug,1,1,1,35,30,ActPas_SYNT_DIFF,passive,0,occ-name,NA,29.4000000002852,2,0.000204642128665,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,30.000000000291,NA,NA,NA
debug,1,1,1,36,34,ActPas_SYNT_DIFF,passive,1,occ-name,NA,30.6000000002969,1,0.000196345848962665,0
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,31.2000000003027,NA,NA,NA
debug,1,1,1,37,63,DOPP_SYNT_SAME,PP,0,name-occ,NA,32.000000000291,2,0.0478412229858804,0
debug,1,1,1,38,32,ActPas_SEM_DIFF,passive,1,occ-name,noun_switch,32.6000000002969,1,0.000201086571905762,0
debug,1,1,1,39,20,ActPas_SEM_DIFF,active,1,occ-name,noun_switch,33.2000000003027,2,0.000202666822588071,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,33.8000000003085,NA,NA,NA
debug,1,1,1,40,2,ActPas_SYNT_DIFF,active,1,occ-name,NA,34.4000000003143,2,0.000203061877982691,1
debug,1,1,1,NA,NA,FIX,NA,NA,NA,NA,35.0000000003201,NA,NA,NA
