SubjID,Run,Order,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
reference,1,E,4.22800000001371,0.12,Agent,1,Melissa Oval is being shaken by Kyle Square.,Kyle,Square,Melissa,Oval
reference,1,E,4.35400000001391,0.12,Patient,1,Lily Triangle is being balanced by Kyle Square.,Kyle,Square,Lily,Triangle
reference,1,E,4.48000000001412,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,4.6000000000131,0.12,Agent,0,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,1,E,4.7260000000133,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,4.76600000001417,0.12,Agent,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,1,E,4.89200000001438,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,5.05200000001423,0.12,Agent,1,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,E,5.17800000001444,0.16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,5.33800000001429,0.12,Patient,1,Lily Triangle is being bounced by Melissa Oval.,Melissa,Oval,Lily,Triangle
reference,1,E,5.46400000001449,0.12,Patient,1,Melissa Oval is being shaken by Kyle Square.,Kyle,Square,Melissa,Oval
reference,1,E,5.5900000000147,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,5.8300000000163,0.12,Agent,0,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,E,5.9560000000165,0.12,Agent,0,Kyle Square is bouncing Melissa Oval.,Kyle,Square,Melissa,Oval
reference,1,E,6.08200000001671,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,6.12200000001758,0.12,Patient,0,Melissa Oval is stopping Lily Triangle.,Melissa,Oval,Lily,Triangle
reference,1,E,6.24800000001778,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,6.36800000001676,0.12,Agent,0,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star
reference,1,E,6.49400000001697,0.44,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,6.93400000001566,0.12,Patient,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
reference,1,E,7.06000000001586,0.04,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,7.10000000001673,0.12,Patient,1,Zach Star is being balanced by Melissa Oval.,Melissa,Oval,Zach,Star
reference,1,E,7.22600000001694,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,7.46600000001854,0.12,Agent,0,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,7.59200000001874,0.28,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,7.87200000001758,0.12,Patient,0,Kyle Square is stopping Lily Triangle.,Kyle,Square,Lily,Triangle
reference,1,E,7.99800000001778,0.12,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,8.11800000001676,0.12,Agent,1,Kyle Square is being bounced by Melissa Oval.,Melissa,Oval,Kyle,Square
reference,1,E,8.24400000001697,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,8.32400000001871,0.12,Patient,0,Kyle Square is bouncing Melissa Oval.,Kyle,Square,Melissa,Oval
reference,1,E,8.45000000001892,0.2,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,8.65000000001965,0.12,Agent,0,Kyle Square is stopping Melissa Oval.,Kyle,Square,Melissa,Oval
reference,1,E,8.77600000001985,0.08,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,8.8560000000216,0.12,Patient,0,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star
reference,1,E,8.9820000000218,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,9.2220000000234,0.12,Patient,0,Zach Star is rolling Melissa Oval.,Zach,Star,Melissa,Oval
reference,1,E,9.3480000000236,0.24,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
reference,1,E,9.5880000000252,0.12,Agent,1,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square
